CEP,CEP_Formatado,UF,Cidade_Referencia,Regiao
61778-350,61778350,AL,Maceió,Nordeste
13310-809,13310809,AL,Maceió,Nordeste
47650-000,47650000,AL,Maceió,Nordeste
78096-020,78096020,AL,Maceió,Nordeste
37838-008,37838008,AL,Maceió,Nordeste
21331-720,21331720,AL,Maceió,Nordeste
75834-375,75834375,AL,Maceió,Nordeste
83280-000,83280000,AM,Manaus,Norte
13146-000,13146000,AM,Manaus,Norte
38406-136,38406136,AM,Manaus,Norte
08773-535,8773535,AM,Manaus,Norte
29172-680,29172680,AM,Manaus,Norte
88901-403,88901403,AM,Manaus,Norte
29199-156,29199156,AM,Manaus,Norte
11080-100,11080100,AM,Manaus,Norte
06270-110,6270110,AM,Manaus,Norte
87360-000,87360000,AM,Manaus,Norte
06655-570,6655570,AM,Manaus,Norte
59060-400,59060400,AM,Manaus,Norte
03407-050,3407050,AM,Manaus,Norte
76907-181,76907181,AM,Manaus,Norte
68590-000,68590000,AM,Manaus,Norte
13423-712,13423712,AM,Manaus,Norte
13370-000,13370000,AM,Manaus,Norte
05126-000,5126000,AM,Manaus,Norte
13179-424,13179424,AM,Manaus,Norte
06700-453,6700453,AM,Manaus,Norte
90520-000,90520000,AM,Manaus,Norte
03085-010,3085010,AM,Manaus,Norte
09725-160,9725160,AM,Manaus,Norte
06286-130,6286130,AM,Manaus,Norte
13242-002,13242002,AM,Manaus,Norte
06435-010,6435010,AM,Manaus,Norte
96900-000,96900000,AM,Manaus,Norte
01415-001,1415001,AM,Manaus,Norte
35960-000,35960000,AM,Manaus,Norte
11256-590,11256590,AM,Manaus,Norte
74920-570,74920570,AM,Manaus,Norte
26030-580,26030580,AM,Manaus,Norte
06454-040,6454040,AM,Manaus,Norte
74911-110,74911110,AM,Manaus,Norte
29260-000,29260000,AM,Manaus,Norte
04476-550,4476550,AM,Manaus,Norte
06020-010,6020010,AM,Manaus,Norte
71810-100,71810100,AM,Manaus,Norte
60055-170,60055170,AM,Manaus,Norte
22795-006,22795006,AM,Manaus,Norte
02317-070,2317070,AM,Manaus,Norte
83504-000,83504000,AM,Manaus,Norte
41307-375,41307375,AM,Manaus,Norte
13273-440,13273440,AM,Manaus,Norte
72120-290,72120290,AM,Manaus,Norte
04158-000,4158000,AM,Manaus,Norte
09521-370,9521370,AM,Manaus,Norte
27333-160,27333160,AM,Manaus,Norte
88504-021,88504021,AM,Manaus,Norte
08830-330,8830330,AM,Manaus,Norte
38180-032,38180032,AM,Manaus,Norte
09330-340,9330340,AM,Manaus,Norte
14024-250,14024250,AM,Manaus,Norte
06851-020,6851020,AM,Manaus,Norte
98005-170,98005170,AM,Manaus,Norte
29297-000,29297000,AM,Manaus,Norte
01417-010,1417010,AM,Manaus,Norte
14020-720,14020720,AM,Manaus,Norte
37957-364,37957364,AM,Manaus,Norte
03607-000,3607000,AM,Manaus,Norte
12040-804,12040804,AM,Manaus,Norte
38410-094,38410094,AM,Manaus,Norte
02963-020,2963020,AM,Manaus,Norte
60410-365,60410365,AM,Manaus,Norte
70686-710,70686710,AM,Manaus,Norte
49032-500,49032500,AM,Manaus,Norte
06070-190,6070190,AM,Manaus,Norte
09030-210,9030210,AM,Manaus,Norte
08122-260,8122260,AM,Manaus,Norte
37701-288,37701288,AM,Manaus,Norte
22755-155,22755155,AM,Manaus,Norte
11440-440,11440440,AM,Manaus,Norte
20730-233,20730233,AM,Manaus,Norte
20720-350,20720350,AM,Manaus,Norte
11705-600,11705600,AM,Manaus,Norte
13208-056,13208056,AM,Manaus,Norte
13056-755,13056755,AM,Manaus,Norte
78556-670,78556670,AM,Manaus,Norte
02976-190,2976190,AM,Manaus,Norte
58755-000,58755000,AM,Manaus,Norte
49045-750,49045750,AM,Manaus,Norte
69054-672,69054672,AM,Manaus,Norte
08030-270,8030270,AM,Manaus,Norte
13960-000,13960000,AM,Manaus,Norte
29042-670,29042670,AM,Manaus,Norte
51202-028,51202028,AM,Manaus,Norte
13481-631,13481631,AM,Manaus,Norte
13606-574,13606574,AM,Manaus,Norte
24808-296,24808296,AM,Manaus,Norte
07401-130,7401130,AM,Manaus,Norte
38408-246,38408246,AM,Manaus,Norte
13340-756,13340756,AM,Manaus,Norte
69918-802,69918802,AM,Manaus,Norte
13056-544,13056544,AM,Manaus,Norte
29060-110,29060110,AM,Manaus,Norte
71680-373,71680373,AM,Manaus,Norte
41720-075,41720075,AM,Manaus,Norte
37930-000,37930000,AM,Manaus,Norte
93348-050,93348050,AM,Manaus,Norte
37653-000,37653000,AM,Manaus,Norte
37975-000,37975000,AM,Manaus,Norte
88330-281,88330281,AM,Manaus,Norte
05172-030,5172030,AM,Manaus,Norte
55790-000,55790000,AM,Manaus,Norte
23953-030,23953030,AM,Manaus,Norte
05009-060,5009060,AM,Manaus,Norte
78040-640,78040640,AM,Manaus,Norte
31015-184,31015184,AM,Manaus,Norte
13170-023,13170023,AM,Manaus,Norte
88331-120,88331120,AM,Manaus,Norte
72220-120,72220120,AM,Manaus,Norte
12289-404,12289404,AM,Manaus,Norte
09110-620,9110620,AM,Manaus,Norte
08665-640,8665640,AM,Manaus,Norte
06210-060,6210060,AM,Manaus,Norte
71538-300,71538300,AM,Manaus,Norte
11725-490,11725490,AM,Manaus,Norte
87047-732,87047732,AM,Manaus,Norte
96207-430,96207430,AM,Manaus,Norte
05619-020,5619020,AP,Macapá,Norte
07111-070,7111070,AP,Macapá,Norte
35422-180,35422180,AP,Macapá,Norte
49032-060,49032060,AP,Macapá,Norte
18130-180,18130180,AP,Macapá,Norte
66630-215,66630215,AP,Macapá,Norte
26110-300,26110300,AP,Macapá,Norte
68440-000,68440000,AP,Macapá,Norte
35412-000,35412000,AP,Macapá,Norte
06455-000,6455000,AP,Macapá,Norte
49095-796,49095796,AP,Macapá,Norte
06733-490,6733490,AP,Macapá,Norte
66816-820,66816820,AP,Macapá,Norte
04410-110,4410110,AP,Macapá,Norte
07115-000,7115000,AP,Macapá,Norte
03415-090,3415090,AP,Macapá,Norte
31170-170,31170170,AP,Macapá,Norte
29645-000,29645000,AP,Macapá,Norte
36404-055,36404055,AP,Macapá,Norte
03407-103,3407103,AP,Macapá,Norte
66635-110,66635110,AP,Macapá,Norte
03612-009,3612009,AP,Macapá,Norte
98690-000,98690000,AP,Macapá,Norte
22261-040,22261040,AP,Macapá,Norte
75524-675,75524675,AP,Macapá,Norte
52041-310,52041310,AP,Macapá,Norte
51330-270,51330270,AP,Macapá,Norte
76105-000,76105000,AP,Macapá,Norte
05409-000,5409000,AP,Macapá,Norte
28908-675,28908675,BA,Salvador,Nordeste
26286-070,26286070,BA,Salvador,Nordeste
02754-070,2754070,BA,Salvador,Nordeste
11441-070,11441070,BA,Feira de Santana,Nordeste
03728-010,3728010,BA,Salvador,Nordeste
08717-490,8717490,BA,Salvador,Nordeste
05801-110,5801110,BA,Salvador,Nordeste
03425-030,3425030,BA,Salvador,Nordeste
70673-046,70673046,BA,Salvador,Nordeste
69850-000,69850000,BA,Salvador,Nordeste
04522-033,4522033,BA,Feira de Santana,Nordeste
14404-000,14404000,BA,Feira de Santana,Nordeste
29645-000,29645000,BA,Salvador,Nordeste
04736-000,4736000,BA,Salvador,Nordeste
11700-450,11700450,BA,Salvador,Nordeste
01407-200,1407200,BA,Salvador,Nordeste
69940-000,69940000,BA,Salvador,Nordeste
06220-090,6220090,BA,Salvador,Nordeste
06706-022,6706022,BA,Salvador,Nordeste
11013-552,11013552,BA,Salvador,Nordeste
03211-020,3211020,BA,Feira de Santana,Nordeste
22775-029,22775029,BA,Feira de Santana,Nordeste
96230-000,96230000,BA,Salvador,Nordeste
88201-460,88201460,BA,Feira de Santana,Nordeste
37890-000,37890000,BA,Salvador,Nordeste
13331-492,13331492,BA,Salvador,Nordeste
86073-280,86073280,BA,Salvador,Nordeste
07808-110,7808110,BA,Salvador,Nordeste
82630-150,82630150,BA,Salvador,Nordeste
11775-444,11775444,BA,Feira de Santana,Nordeste
09080-010,9080010,BA,Feira de Santana,Nordeste
29060-290,29060290,BA,Feira de Santana,Nordeste
26600-000,26600000,BA,Salvador,Nordeste
73330-031,73330031,BA,Salvador,Nordeste
08260-090,8260090,BA,Salvador,Nordeste
07181-060,7181060,BA,Salvador,Nordeste
74343-460,74343460,BA,Feira de Santana,Nordeste
34003-393,34003393,BA,Salvador,Nordeste
03407-050,3407050,BA,Salvador,Nordeste
31560-140,31560140,BA,Feira de Santana,Nordeste
04929-060,4929060,BA,Salvador,Nordeste
06026-080,6026080,BA,Salvador,Nordeste
82410-030,82410030,BA,Salvador,Nordeste
13299-484,13299484,BA,Feira de Santana,Nordeste
02348-090,2348090,BA,Salvador,Nordeste
92010-100,92010100,BA,Feira de Santana,Nordeste
82620-070,82620070,BA,Salvador,Nordeste
38402-227,38402227,BA,Salvador,Nordeste
18048-040,18048040,BA,Salvador,Nordeste
69313-335,69313335,BA,Salvador,Nordeste
25045-100,25045100,BA,Salvador,Nordeste
13212-583,13212583,BA,Salvador,Nordeste
37145-000,37145000,BA,Salvador,Nordeste
66635-110,66635110,BA,Salvador,Nordeste
83415-360,83415360,BA,Salvador,Nordeste
78785-000,78785000,BA,Salvador,Nordeste
29153-060,29153060,BA,Salvador,Nordeste
29906-035,29906035,BA,Feira de Santana,Nordeste
13282-368,13282368,BA,Feira de Santana,Nordeste
19023-390,19023390,BA,Salvador,Nordeste
36410-168,36410168,BA,Feira de Santana,Nordeste
30673-150,30673150,BA,Salvador,Nordeste
06455-000,6455000,BA,Salvador,Nordeste
96600-000,96600000,BA,Feira de Santana,Nordeste
13569-702,13569702,BA,Salvador,Nordeste
92020-590,92020590,BA,Salvador,Nordeste
07082-610,7082610,BA,Feira de Santana,Nordeste
30626-540,30626540,BA,Feira de Santana,Nordeste
89254-300,89254300,BA,Salvador,Nordeste
26574-490,26574490,BA,Salvador,Nordeste
99500-000,99500000,BA,Feira de Santana,Nordeste
21931-010,21931010,BA,Salvador,Nordeste
07243-180,7243180,BA,Salvador,Nordeste
18604-030,18604030,BA,Feira de Santana,Nordeste
04362-060,4362060,BA,Salvador,Nordeste
13189-279,13189279,BA,Salvador,Nordeste
76808-338,76808338,BA,Feira de Santana,Nordeste
09290-040,9290040,BA,Salvador,Nordeste
04154-070,4154070,BA,Salvador,Nordeste
18051-864,18051864,BA,Feira de Santana,Nordeste
13024-010,13024010,BA,Salvador,Nordeste
92020-342,92020342,BA,Salvador,Nordeste
30494-390,30494390,BA,Salvador,Nordeste
31985-460,31985460,BA,Feira de Santana,Nordeste
72220-089,72220089,BA,Feira de Santana,Nordeste
88535-000,88535000,BA,Salvador,Nordeste
85807-240,85807240,BA,Salvador,Nordeste
31365-160,31365160,BA,Salvador,Nordeste
54523-145,54523145,BA,Salvador,Nordeste
22471-003,22471003,BA,Salvador,Nordeste
41611-140,41611140,BA,Salvador,Nordeste
06753-030,6753030,BA,Feira de Santana,Nordeste
22470-201,22470201,BA,Salvador,Nordeste
09110-620,9110620,BA,Feira de Santana,Nordeste
11711-170,11711170,BA,Salvador,Nordeste
13568-880,13568880,BA,Salvador,Nordeste
22775-024,22775024,BA,Salvador,Nordeste
02471-110,2471110,BA,Feira de Santana,Nordeste
06857-750,6857750,BA,Salvador,Nordeste
13363-122,13363122,BA,Salvador,Nordeste
22720-011,22720011,BA,Salvador,Nordeste
36730-000,36730000,BA,Salvador,Nordeste
39400-078,39400078,BA,Salvador,Nordeste
29600-000,29600000,BA,Feira de Santana,Nordeste
08774-090,8774090,BA,Feira de Santana,Nordeste
02844-090,2844090,BA,Salvador,Nordeste
13568-230,13568230,BA,Feira de Santana,Nordeste
95588-000,95588000,BA,Salvador,Nordeste
22441-090,22441090,BA,Salvador,Nordeste
30865-020,30865020,BA,Feira de Santana,Nordeste
13290-000,13290000,BA,Feira de Santana,Nordeste
76817-001,76817001,BA,Salvador,Nordeste
32687-074,32687074,BA,Salvador,Nordeste
03282-000,3282000,BA,Salvador,Nordeste
06433-010,6433010,BA,Salvador,Nordeste
11703-180,11703180,BA,Salvador,Nordeste
68906-849,68906849,BA,Salvador,Nordeste
81550-000,81550000,BA,Salvador,Nordeste
38182-744,38182744,BA,Salvador,Nordeste
28898-332,28898332,BA,Salvador,Nordeste
78450-106,78450106,BA,Salvador,Nordeste
08773-495,8773495,BA,Salvador,Nordeste
32450-000,32450000,BA,Salvador,Nordeste
66080-650,66080650,BA,Salvador,Nordeste
09070-360,9070360,BA,Salvador,Nordeste
14075-290,14075290,BA,Salvador,Nordeste
14407-062,14407062,BA,Salvador,Nordeste
89221-008,89221008,BA,Salvador,Nordeste
03158-060,3158060,BA,Feira de Santana,Nordeste
39401-595,39401595,BA,Salvador,Nordeste
09784-125,9784125,BA,Salvador,Nordeste
05351-050,5351050,BA,Feira de Santana,Nordeste
04052-030,4052030,BA,Salvador,Nordeste
85805-600,85805600,BA,Salvador,Nordeste
06455-000,6455000,BA,Feira de Santana,Nordeste
78205-400,78205400,BA,Salvador,Nordeste
18048-255,18048255,BA,Salvador,Nordeste
60510-118,60510118,BA,Salvador,Nordeste
01551-080,1551080,BA,Feira de Santana,Nordeste
13209-355,13209355,BA,Salvador,Nordeste
07193-120,7193120,BA,Salvador,Nordeste
13318-048,13318048,BA,Salvador,Nordeste
03022-030,3022030,BA,Salvador,Nordeste
59330-000,59330000,BA,Feira de Santana,Nordeste
14091-520,14091520,BA,Salvador,Nordeste
96211-030,96211030,BA,Salvador,Nordeste
04691-100,4691100,BA,Salvador,Nordeste
76824-027,76824027,BA,Salvador,Nordeste
80030-000,80030000,BA,Feira de Santana,Nordeste
49047-290,49047290,BA,Salvador,Nordeste
74370-469,74370469,BA,Salvador,Nordeste
78580-000,78580000,BA,Salvador,Nordeste
05778-250,5778250,BA,Salvador,Nordeste
06455-000,6455000,BA,Feira de Santana,Nordeste
06026-000,6026000,BA,Salvador,Nordeste
53060-170,53060170,BA,Salvador,Nordeste
51021-040,51021040,BA,Salvador,Nordeste
30880-150,30880150,BA,Salvador,Nordeste
29148-110,29148110,BA,Salvador,Nordeste
95535-000,95535000,BA,Salvador,Nordeste
04268-020,4268020,BA,Salvador,Nordeste
66035-115,66035115,BA,Feira de Santana,Nordeste
09185-250,9185250,BA,Feira de Santana,Nordeste
14730-000,14730000,BA,Salvador,Nordeste
13212-562,13212562,BA,Salvador,Nordeste
73808-150,73808150,BA,Salvador,Nordeste
04256-090,4256090,BA,Salvador,Nordeste
03111-010,3111010,BA,Salvador,Nordeste
78118-015,78118015,BA,Salvador,Nordeste
69036-790,69036790,BA,Salvador,Nordeste
21545-040,21545040,BA,Salvador,Nordeste
32145-470,32145470,BA,Salvador,Nordeste
04007-005,4007005,BA,Salvador,Nordeste
06343-120,6343120,BA,Salvador,Nordeste
30190-000,30190000,BA,Salvador,Nordeste
70711-905,70711905,BA,Salvador,Nordeste
25030-410,25030410,BA,Salvador,Nordeste
14027-520,14027520,BA,Salvador,Nordeste
11440-440,11440440,BA,Salvador,Nordeste
59179-000,59179000,BA,Salvador,Nordeste
29161-806,29161806,BA,Feira de Santana,Nordeste
14056-275,14056275,BA,Salvador,Nordeste
03584-130,3584130,BA,Salvador,Nordeste
06086-120,6086120,BA,Salvador,Nordeste
03456-020,3456020,BA,Salvador,Nordeste
31230-180,31230180,BA,Salvador,Nordeste
74950-100,74950100,BA,Salvador,Nordeste
13363-006,13363006,BA,Salvador,Nordeste
11704-630,11704630,BA,Salvador,Nordeste
78145-420,78145420,BA,Salvador,Nordeste
09351-390,9351390,BA,Salvador,Nordeste
08021-550,8021550,BA,Salvador,Nordeste
68011-052,6801052,BA,Salvador,Nordeste
13309-000,13309000,BA,Salvador,Nordeste
04788-090,4788090,BA,Feira de Santana,Nordeste
72215-255,72215255,BA,Salvador,Nordeste
75660-000,75660000,BA,Salvador,Nordeste
86320-000,86320000,BA,Salvador,Nordeste
14900-000,14900000,BA,Salvador,Nordeste
35400-535,35400535,BA,Salvador,Nordeste
70645-080,70645080,BA,Salvador,Nordeste
06298-190,6298190,BA,Salvador,Nordeste
78466-565,78466565,BA,Salvador,Nordeste
28130-200,2813020,BA,Feira de Santana,Nordeste
07111-120,7111120,BA,Salvador,Nordeste
08370-365,8370365,BA,Salvador,Nordeste
13250-370,13250370,BA,Feira de Santana,Nordeste
09080-320,9080320,BA,Salvador,Nordeste
69900-688,69900688,BA,Salvador,Nordeste
89203-307,89203307,BA,Salvador,Nordeste
96300-000,96300000,BA,Salvador,Nordeste
89114-208,89114208,BA,Salvador,Nordeste
06454-050,6454050,BA,Salvador,Nordeste
78032-065,78032065,BA,Salvador,Nordeste
30865-500,30865500,BA,Salvador,Nordeste
78740-620,78740620,BA,Salvador,Nordeste
70686-710,70686710,BA,Salvador,Nordeste
18119-170,18119170,BA,Salvador,Nordeste
18031-310,18031310,BA,Salvador,Nordeste
82630-490,82630490,BA,Salvador,Nordeste
69044-230,69044230,BA,Salvador,Nordeste
18401-280,18401280,BA,Salvador,Nordeste
13087-761,13087761,BA,Salvador,Nordeste
13331-673,13331673,BA,Salvador,Nordeste
70755-150,70755150,BA,Salvador,Nordeste
13087-310,13087310,BA,Salvador,Nordeste
15016-710,1501,BA,Feira de Santana,Nordeste
53441-360,53441360,BA,Salvador,Nordeste
05791-260,5791260,BA,Salvador,Nordeste
03157-010,3157010,BA,Feira de Santana,Nordeste
13846-355,13846355,BA,Salvador,Nordeste
37553-483,37553483,BA,Salvador,Nordeste
05208-200,5208200,BA,Salvador,Nordeste
83540-000,83540000,BA,Feira de Santana,Nordeste
13299-144,13299144,BA,Feira de Santana,Nordeste
13020-240,13020240,BA,Salvador,Nordeste
01509-001,1509001,BA,Salvador,Nordeste
22770-104,22770104,BA,Salvador,Nordeste
14620-000,14620000,BA,Salvador,Nordeste
98700-000,98700000,BA,Salvador,Nordeste
06149-210,6149210,BA,Salvador,Nordeste
29175-735,29175735,BA,Salvador,Nordeste
89900-000,89900000,BA,Salvador,Nordeste
08761-010,8761010,BA,Salvador,Nordeste
31515-370,31515370,BA,Salvador,Nordeste
72006-515,72006515,BA,Salvador,Nordeste
35969-000,35969000,BA,Salvador,Nordeste
13208-056,13208056,BA,Salvador,Nordeste
06765-060,6765060,BA,Salvador,Nordeste
88040-003,88040003,BA,Salvador,Nordeste
07790-890,7790890,BA,Salvador,Nordeste
27600-026,27600026,BA,Salvador,Nordeste
21051-071,21051071,BA,Salvador,Nordeste
55190-597,55190597,BA,Salvador,Nordeste
24930-392,24930392,BA,Salvador,Nordeste
01308-010,1308010,BA,Salvador,Nordeste
00000-000,0,BA,Feira de Santana,Nordeste
90850-050,90850050,BA,Feira de Santana,Nordeste
76873-466,76873466,BA,Salvador,Nordeste
76873-530,76873530,BA,Salvador,Nordeste
13210-511,13210511,BA,Salvador,Nordeste
72509-412,72509412,BA,Salvador,Nordeste
11015-070,11015070,BA,Salvador,Nordeste
81050-400,81050400,BA,Salvador,Nordeste
81550-000,81550000,BA,Feira de Santana,Nordeste
13185-846,13185846,BA,Salvador,Nordeste
32900-000,32900000,BA,Salvador,Nordeste
25715-390,25715390,BA,Feira de Santana,Nordeste
36900-040,36900040,BA,Salvador,Nordeste
05741-200,5741200,BA,Salvador,Nordeste
76820-304,76820304,BA,Salvador,Nordeste
81900-440,81900440,BA,Salvador,Nordeste
52061-070,52061070,BA,Feira de Santana,Nordeste
52050-230,52050230,BA,Salvador,Nordeste
70683-670,70683670,BA,Salvador,Nordeste
08235-380,8235380,BA,Salvador,Nordeste
14230-000,14230000,BA,Salvador,Nordeste
74230-220,74230220,BA,Salvador,Nordeste
92330-350,92330350,BA,Salvador,Nordeste
07044-050,7044050,BA,Salvador,Nordeste
78580-000,78580000,BA,Salvador,Nordeste
97590-000,97590000,BA,Feira de Santana,Nordeste
88070-605,88070605,BA,Salvador,Nordeste
59155-810,59155810,BA,Salvador,Nordeste
35650-000,35650000,BA,Salvador,Nordeste
13218-400,13218400,BA,Salvador,Nordeste
06182-090,6182090,BA,Salvador,Nordeste
46810-000,46810000,BA,Salvador,Nordeste
68909-177,68909177,BA,Salvador,Nordeste
17033-340,17033340,BA,Salvador,Nordeste
13901-280,13901280,BA,Salvador,Nordeste
14860-000,14860000,BA,Salvador,Nordeste
18607-420,18607420,BA,Salvador,Nordeste
21021-970,21021970,BA,Salvador,Nordeste
72145-837,72145837,BA,Feira de Santana,Nordeste
11013-760,11013760,BA,Salvador,Nordeste
80240-070,80240070,BA,Salvador,Nordeste
03420-030,3420030,BA,Salvador,Nordeste
42701-350,42701350,BA,Salvador,Nordeste
09541-150,9541150,BA,Salvador,Nordeste
06720-160,6720160,BA,Salvador,Nordeste
13507-012,13507012,BA,Salvador,Nordeste
75650-000,75650000,BA,Salvador,Nordeste
18552-184,18552184,BA,Salvador,Nordeste
80240-050,80240050,BA,Salvador,Nordeste
02208-020,2208020,BA,Salvador,Nordeste
38082-259,38082259,BA,Salvador,Nordeste
57607-520,57607520,BA,Salvador,Nordeste
98050-290,98050290,BA,Salvador,Nordeste
09551-000,9551000,BA,Feira de Santana,Nordeste
48601-540,48601540,BA,Salvador,Nordeste
71215-640,71215640,BA,Salvador,Nordeste
46900-000,46900000,BA,Salvador,Nordeste
18708-822,18708822,BA,Salvador,Nordeste
09781-035,9781035,BA,Salvador,Nordeste
68447-000,68447000,BA,Salvador,Nordeste
36496-486,36496486,BA,Feira de Santana,Nordeste
49095-786,49095786,BA,Salvador,Nordeste
88370-759,88370759,BA,Salvador,Nordeste
29230-000,29230000,BA,Salvador,Nordeste
49075-050,49075050,BA,Feira de Santana,Nordeste
09400-420,9400420,BA,Salvador,Nordeste
25645-240,25645240,BA,Salvador,Nordeste
54325-450,54325450,BA,Salvador,Nordeste
92310-060,92310060,BA,Feira de Santana,Nordeste
89081-530,89081530,BA,Salvador,Nordeste
09061-520,9061520,BA,Salvador,Nordeste
78558-124,78558124,BA,Salvador,Nordeste
13211-772,13211772,BA,Salvador,Nordeste
89260-130,89260130,BA,Salvador,Nordeste
01036-100,1036100,BA,Salvador,Nordeste
55642-140,55642140,BA,Salvador,Nordeste
16402-570,16402570,BA,Salvador,Nordeste
19901-750,19901750,BA,Salvador,Nordeste
76906-676,76906676,BA,Feira de Santana,Nordeste
04470-185,4470185,BA,Salvador,Nordeste
31230-610,31230610,BA,Feira de Santana,Nordeste
31030-500,31030500,BA,Salvador,Nordeste
66060-060,66060060,BA,Salvador,Nordeste
01306-001,1306001,BA,Salvador,Nordeste
13844-135,13844135,BA,Feira de Santana,Nordeste
66120-000,66120000,BA,Salvador,Nordeste
09411-270,9411270,BA,Salvador,Nordeste
04357-100,4357100,BA,Salvador,Nordeste
36307-346,36307346,BA,Salvador,Nordeste
89023-201,89023201,BA,Salvador,Nordeste
29172-680,29172680,BA,Salvador,Nordeste
08340-145,8340145,BA,Salvador,Nordeste
24812-360,24812360,BA,Salvador,Nordeste
25040-686,25040686,BA,Salvador,Nordeste
01307-014,1307014,BA,Salvador,Nordeste
55578-000,55578000,BA,Salvador,Nordeste
03808-130,3808130,BA,Salvador,Nordeste
19700-019,19700019,BA,Feira de Santana,Nordeste
80730-402,80730402,BA,Salvador,Nordeste
76152-000,76152000,BA,Salvador,Nordeste
13040-145,13040145,BA,Feira de Santana,Nordeste
13212-117,13212117,BA,Salvador,Nordeste
09371-605,9371605,BA,Salvador,Nordeste
11681-262,11681262,BA,Salvador,Nordeste
06126-040,6126040,BA,Salvador,Nordeste
67120-520,67120520,BA,Feira de Santana,Nordeste
07141-400,7141400,BA,Salvador,Nordeste
81590-030,81590030,BA,Salvador,Nordeste
06036-070,6036070,BA,Salvador,Nordeste
44200-000,44200000,BA,Salvador,Nordeste
59035-060,59035060,BA,Salvador,Nordeste
83604-740,83604740,BA,Salvador,Nordeste
53030-060,53030060,BA,Salvador,Nordeste
07401-130,7401130,BA,Feira de Santana,Nordeste
07095-140,7095140,BA,Salvador,Nordeste
78710-235,78710235,BA,Salvador,Nordeste
09635-000,9635000,BA,Salvador,Nordeste
95860-000,95860000,BA,Feira de Santana,Nordeste
03578-090,3578090,BA,Salvador,Nordeste
13218-040,13218040,BA,Salvador,Nordeste
05630-120,5630120,BA,Salvador,Nordeste
09030-620,9030620,BA,Salvador,Nordeste
06413-700,6413700,BA,Salvador,Nordeste
02071-000,2071000,BA,Salvador,Nordeste
78088-010,78088010,BA,Salvador,Nordeste
